Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment;S/L;T/P
EU50;1403962725;Buy Stop;0.01;31.07.2024 15:44:12;4906.6;31.07.2024 22:12:16;4889.7;-1725;-1 838.58;0;[S/L];4890.6;4925
USDJPY;1404093194;Sell Limit;0.01;31.07.2024 19:51:01;149.851;31.07.2024 21:06:00;149.31;3418.87;3 418.87;0;[T/P];150.095;149.311
AUDUSD;1403958840;Buy Stop;0.01;31.07.2024 15:42:34;0.65444;31.07.2024 21:00:23;0.65368;-716.62;-754.40;0;[S/L];0.65368;0.65669
USDCAD;1404048882;Sell Stop;0.01;31.07.2024 17:12:59;1.38026;31.07.2024 20:08:20;1.38117;-621.71;-664.25;0;[S/L];1.38117;1.37904
HK.cash;1403953053;Buy;0.01;31.07.2024 15:40:20;17324;31.07.2024 15:41:13;17301;-1084.36;-1 084.36;0;;17246;
EURJPY;1403817357;Sell Limit;0.01;31.07.2024 14:44:56;162.759;31.07.2024 15:27:12;162.214;3432.24;3 432.24;0;[T/P];163.119;162.218
FRA40;1403759932;Buy Stop;0.01;31.07.2024 14:18:56;7550.3;31.07.2024 15:18:44;7550.1;-20.43;-20.43;0;[S/L];7550.1;7573.4
GBPJPY;1403770115;Sell;0.01;31.07.2024 14:27:03;193.618;31.07.2024 15:15:19;193.159;2884.04;2 884.04;0;;193.369;193.088
EURCHF;1403488481;Buy;0.01;31.07.2024 11:02:35;0.95264;31.07.2024 14:44:04;0.95235;-310.84;-310.84;0;;0.9512;0.95472
GBPUSD;1403767940;Buy;0.01;31.07.2024 14:25:05;1.28344;31.07.2024 14:42:24;1.28528;1734.97;1 734.97;0;;1.28448;1.28575
AUDCAD;1403756283;Sell Stop;0.01;31.07.2024 14:16:10;0.90093;31.07.2024 14:27:47;0.90162;-471.38;-471.38;0;[S/L];0.90162;0.90002
USDCHF;1403492532;Sell Stop;0.01;31.07.2024 11:04:50;0.87975;31.07.2024 14:00:03;0.8814;-1767.16;-1 767.16;0;[S/L];0.88135;0.8779
AUDCAD;1403401519;Sell Stop;0.01;31.07.2024 10:32:25;0.9015;31.07.2024 13:59:57;0.9027;-820.01;-820.01;0;[S/L];0.90261;0.9
GBPJPY;1403624451;Sell Stop;0.01;31.07.2024 12:37:41;193.139;31.07.2024 13:29:32;193.472;-2080.8;-2 080.80;0;[S/L];193.463;192.766
