Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment;S/L;T/P
NZDUSD;1440488317;Sell Stop;0.02;30.08.2024 12:01:07;0.62376;30.08.2024 12:06:38;0.62427;-933.32;-933.32;0;[S/L];0.62427;0.62301
GBPUSD;1440344872;Sell;0.01;30.08.2024 10:55:32;1.31458;30.08.2024 11:23:15;1.31346;1026.61;1 026.61;0;;1.31401;1.31303
NZDUSD;1440317609;Sell Stop;0.02;30.08.2024 10:44:54;0.62568;30.08.2024 10:52:12;0.62616;-878.85;-878.85;0;[S/L];0.62616;0.62457
NZDUSD;1440236794;Sell Stop;0.02;30.08.2024 10:14:10;0.62566;30.08.2024 10:35:35;0.62602;-658.6;-658.60;0;[S/L];0.62602;0.62476
EURJPY;1440145940;Buy;0.01;30.08.2024 09:42:46;161.13;30.08.2024 09:59:20;161.255;782.29;782.29;0;;161.135;161.318
USDCAD;1439448859;Sell Stop;0.01;29.08.2024 21:21:52;1.34819;30.08.2024 00:07:33;1.34913;-636.3;-636.30;0;[S/L];1.34913;1.34468
NZDUSD;1439473249;Buy Stop;0.01;29.08.2024 22:25:27;0.627;30.08.2024 00:06:21;0.62599;-921.8;-921.80;0;[S/L];0.626;0.62922
NZDUSD;1439446439;Sell Stop;0.02;29.08.2024 21:15:29;0.62681;29.08.2024 21:21:36;0.62732;-931.38;-931.38;0;[S/L];0.62732;0.62606
NZDUSD;1439412264;Sell Stop;0.02;29.08.2024 19:10:27;0.62619;29.08.2024 19:27:44;0.62659;-730.5;-730.50;0;[S/L];0.62659;0.62408
GBPUSD;1439270256;Buy;0.01;29.08.2024 14:54:15;1.3169;29.08.2024 16:52:17;1.31686;-36.51;-36.51;0;;1.31635;1.31967
USDCAD;1439339558;Sell Stop;0.01;29.08.2024 15:46:03;1.34821;29.08.2024 16:50:51;1.34871;-338.56;-338.56;0;[S/L];1.34871;1.34566
USDCAD;1439273931;Sell Stop;0.01;29.08.2024 14:55:43;1.34772;29.08.2024 15:42:58;1.34833;-413.16;-413.16;0;[S/L];1.34833;1.34606
GBPUSD;1439223866;Buy Stop;0.01;29.08.2024 14:32:46;1.31766;29.08.2024 14:43:04;1.31653;-1031.32;-1 031.32;0;[S/L];1.31655;1.31977
EURUSD;1439042810;Buy Stop;0.01;29.08.2024 12:08:59;1.1082;29.08.2024 14:43:04;1.10765;-501.97;-501.97;0;[S/L];1.10765;1.1097
GBPUSD;1439173956;Buy Stop;0.01;29.08.2024 13:52:09;1.31814;29.08.2024 14:28:23;1.31726;-803.15;-803.15;0;[S/L];1.31731;1.31897
USDCAD;1439116594;Sell Stop;0.01;29.08.2024 13:04:25;1.3468;29.08.2024 13:46:28;1.34713;-223.71;-223.71;0;[S/L];1.34713;1.345
AUDNZD;1438889148;Sell Stop;0.02;29.08.2024 10:46:06;1.08587;29.08.2024 12:04:29;1.08631;-505.96;-505.96;0;[S/L];1.08631;1.08432
USDCAD;1438963069;Buy Stop;0.01;29.08.2024 11:19:55;1.34793;29.08.2024 11:51:47;1.34712;-551.47;-551.47;0;[S/L];1.34713;1.34959
USDJPY;1438894595;Sell Limit;0.01;29.08.2024 10:48:26;145.436;29.08.2024 11:17:45;145.258;1125.53;1 125.53;0;[T/P];145.435;145.259
EURUSD;1437860958;Sell Stop;0.01;28.08.2024 20:38:24;1.11286;28.08.2024 20:55:40;1.11326;-364.71;-364.71;0;[S/L];1.11326;1.11175
USDJPY;1437857142;Buy;0.01;28.08.2024 20:29:23;144.473;28.08.2024 20:37:09;144.572;623.92;623.92;0;;144.373;144.713
AUDNZD;1437716444;Sell Stop;0.02;28.08.2024 16:10:24;1.08619;28.08.2024 16:52:24;1.08674;-626.35;-626.35;0;[S/L];1.08674;1.08508
USDJPY;1437580250;Buy;0.01;28.08.2024 14:09:14;144.576;28.08.2024 15:44:42;144.726;944.34;944.34;0;;144.606;144.976
USDCAD;1437505144;Buy Limit;0.01;28.08.2024 13:13:33;1.34716;28.08.2024 14:06:54;1.34856;945.85;945.85;0;[T/P];1.34646;1.34856
USDCAD;1437450390;Sell;0.01;28.08.2024 12:30:16;1.34738;28.08.2024 13:13:18;1.34707;209.92;209.92;0;;1.34789;1.34487
AUDNZD;1437243013;Sell;0.02;28.08.2024 10:49:49;1.08701;28.08.2024 12:05:51;1.08645;638.12;638.12;0;;1.087;1.08585
GBPJPY;1436115127;Buy;0.01;27.08.2024 13:51:36;190.863;27.08.2024 16:16:32;190.971;679.97;679.97;0;;190.752;191.496
AUDNZD;1435761034;Sell;0.02;27.08.2024 10:06:14;1.08792;27.08.2024 12:41:12;1.08689;1164.99;1 164.99;0;;1.08737;1.08681
USDCAD;1435754096;Buy Stop;0.01;27.08.2024 10:03:58;1.34668;27.08.2024 10:05:39;1.34598;-472.07;-472.07;0;[S/L];1.34599;1.34758
GBPAUD;1434938893;Buy Stop;0.01;26.08.2024 20:04:19;1.948;26.08.2024 23:28:53;1.94489;-1909.94;-1 909.94;0;[S/L];1.94489;1.9528
USDCAD;1434900908;Buy Stop;0.01;26.08.2024 17:10:07;1.34873;26.08.2024 21:55:46;1.34773;-672.03;-676.43;0;[S/L];1.34773;1.35053
