Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment;S/L;T/P
GBPUSD;1476204241;Sell Stop;0.01;30.09.2024 16:59:27;1.33696;30.09.2024 22:30:15;1.33846;-1346.88;-1 381.24;0;[S/L];1.33846;1.33285
AUDNZD;1475950487;Buy Stop;0.01;30.09.2024 14:18:25;1.0887;30.09.2024 18:01:02;1.08719;-860.06;-860.06;0;[S/L];1.0877;1.0922
EURCHF;1475945310;Sell Stop;0.01;30.09.2024 14:14:12;0.94121;30.09.2024 16:01:33;0.94301;-1907.76;-1 907.76;0;[S/L];0.94301;0.93833
USDCAD;1475870678;Buy Stop;0.01;30.09.2024 13:10:11;1.35156;30.09.2024 14:02:22;1.35045;-737.47;-737.47;0;[S/L];1.35045;1.35406
AUDJPY;1475797558;Sell Stop;0.01;30.09.2024 12:22:56;99.351;30.09.2024 13:18:20;99.353;-12.54;-12.54;0;[S/L];99.352;98.051
USDCAD;1475794148;Sell Stop;0.01;30.09.2024 12:20:47;1.35039;30.09.2024 12:27:59;1.35103;-425.18;-425.18;0;[S/L];1.35103;1.34888
EURCHF;1475726151;Sell;0.01;30.09.2024 11:47:44;0.94261;30.09.2024 12:19:18;0.94165;1020.93;1 020.93;0;;0.94262;0.94061
USDJPY;1475731118;Sell Stop;0.01;30.09.2024 11:49:35;142.984;30.09.2024 12:02:03;143.095;-697.06;-697.06;0;[S/L];143.095;142.284
USDJPY;1475430670;Sell Stop;0.01;30.09.2024 10:02:58;142.855;30.09.2024 10:40:12;142.967;-702.9;-702.90;0;[S/L];142.966;142.355
AUDNZD;1475436203;Buy Stop;0.01;30.09.2024 10:05:42;1.09081;30.09.2024 10:08:42;1.09006;-426.59;-426.59;0;[S/L];1.09006;1.09231
USDJPY;1473612654;Buy;0.01;27.09.2024 11:11:44;142.624;30.09.2024 09:53:24;142.922;1867.66;2 120.98;0;;142.623;143.846
EURCAD;1474558953;Sell Stop;0.01;29.09.2024 22:23:20;1.50869;30.09.2024 04:48:27;1.5098;-739.51;-739.51;0;[S/L];1.5098;1.50619
USDJPY;1474692889;Sell Stop;0.01;30.09.2024 02:19:25;141.939;30.09.2024 02:30:02;142.054;-728.85;-728.85;0;[S/L];142.053;141.312
AUDNZD;1474587761;Sell Stop;0.01;29.09.2024 22:56:54;1.08755;30.09.2024 00:48:38;1.08866;-636.22;-636.22;0;[S/L];1.08866;1.08578
EURUSD;1474546256;Buy Stop;0.01;29.09.2024 22:04:50;1.11728;29.09.2024 22:13:27;1.11664;-575.85;-575.85;0;[S/L];1.11664;1.1185
USDJPY;1474083539;Sell Stop;0.01;27.09.2024 15:31:08;142.098;27.09.2024 15:51:04;142.213;-728.03;-728.03;0;[S/L];142.209;141.087
EURCHF;1473430164;Sell;0.01;27.09.2024 10:03:24;0.94146;27.09.2024 14:24:25;0.9391;2525.22;2 525.22;0;;0.94147;0.93835
GBPUSD;1473425178;Sell Stop;0.01;27.09.2024 10:01:22;1.34194;27.09.2024 11:06:03;1.34073;1083.46;1 083.46;0;[S/L];1.34072;1.33944
EURCAD;1472388508;Buy Stop;0.01;26.09.2024 14:23:30;1.50585;27.09.2024 03:45:00;1.50472;-753.19;-803.70;0;[S/L];1.50474;1.51335
NZDJPY;1472661046;Sell Stop;0.01;26.09.2024 22:57:19;91.694;27.09.2024 02:01:18;92.007;-1929.85;-1 929.85;0;[S/L];92.005;91.224
GBPUSD;1472311861;Sell;0.01;26.09.2024 13:24:12;1.34064;26.09.2024 22:54:38;1.33905;1430.24;1 396.16;0;;1.34065;1.33642
USDJPY;1472308426;Buy Stop;0.01;26.09.2024 13:22:22;144.861;26.09.2024 14:19:05;144.61;-1560.37;-1 560.37;0;[S/L];144.611;145.161
AUDNZD;1472305575;Buy Stop;0.01;26.09.2024 13:20:48;1.09061;26.09.2024 13:41:36;1.08984;-436.91;-436.91;0;[S/L];1.08984;1.09211
