Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment;S/L;T/P
USDJPY;1353296628;Sell;0.01;12.06.2024 12:12:54;155.777;12.06.2024 14:15:41;156.428;-3810.75;-3 810.75;0;[S/O 29.27% 1339.71 / 4576.48 (CLP)];156.554;155.007
USDJPY;1351831847;Buy Stop;0.01;11.06.2024 10:30:39;157.215;12.06.2024 09:26:21;155.903;-7668.51;-7 566.07;0;[S/L];155.904;158.748
EURJPY;1351577713;Buy;0.01;11.06.2024 08:46:29;168.475;11.06.2024 08:51:23;168.39;-501.08;-501.08;0;;168.031;170.519
EURJPY;1350843693;Buy Stop;0.01;10.06.2024 15:02:31;169.062;11.06.2024 08:34:00;168.307;-4451.62;-4 380.35;0;[S/L];168.307;170.317
US500;1348712761;Sell Stop;0.01;07.06.2024 10:25:51;5362;07.06.2024 10:46:22;5377.5;-7102.26;-7 102.26;0;[S/L];5377.5;5314.3
EURJPY;1347731046;Buy Stop;0.01;06.06.2024 19:42:14;169.578;07.06.2024 02:06:31;169.244;-1949.09;-1 949.09;0;[S/L];169.245;170.355
AUDUSD;1347199498;Buy;0.01;06.06.2024 09:53:41;0.66514;06.06.2024 19:41:06;0.66668;1396.73;1 358.27;0;;0.66214;0.67214
UK100;1346137147;Sell Stop;0.01;05.06.2024 12:16:23;8252.9;05.06.2024 21:12:34;8280.6;-3232.57;-3 232.57;0;[S/L];8280.6;8180.9
EURUSD;1344882094;Buy Stop;0.01;04.06.2024 14:36:21;1.08835;05.06.2024 12:10:40;1.08558;-2514.94;-2 581.00;0;[S/L];1.08558;1.09501
USDJPY;1343050589;Sell Limit;0.01;03.06.2024 11:38:53;156.051;04.06.2024 06:07:59;155.04;5897.5;5 734.39;0;[T/P];156.551;155.04
AUDUSD;1341539141;Buy;0.01;31.05.2024 15:47:25;0.66498;03.06.2024 10:40:47;0.6686;3287.76;3 166.27;0;;0.66248;0.67209

