Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment;S/L;T/P
AUDUSD;1208781541;Buy Stop;0.01;29.01.2024 19:10:51;0.66101;30.01.2024 01:40:54;0.66068;-307.23;-348.08;0;[S/L];0.66068;0.66378
AUDUSD;1208748337;Buy Stop;0.01;29.01.2024 17:50:42;0.66121;29.01.2024 19:09:50;0.65955;-1545.46;-1 545.46;0;[S/L];0.65971;0.66398
AUDUSD;1208055402;Sell;0.01;29.01.2024 09:54:33;0.65994;29.01.2024 15:34:40;0.65914;745.28;745.28;0;;0.65961;0.65817
AUDUSD;1206612403;Buy Stop;0.01;26.01.2024 09:47:34;0.65971;26.01.2024 10:36:26;0.65881;-821.88;-821.88;0;[S/L];0.65881;0.66093
AUDUSD;1206010572;Buy;0.01;25.01.2024 16:59:21;0.65827;26.01.2024 09:47:17;0.65963;1235.29;1 194.98;0;;0.65901;0.66049
AUDUSD;1205940620;Sell Stop;0.01;25.01.2024 16:00:27;0.65735;25.01.2024 16:35:17;0.65828;-846.3;-846.30;0;[S/L];0.65825;0.65535
AUDUSD;1205817942;Buy Stop;0.01;25.01.2024 14:25:25;0.65822;25.01.2024 15:57:23;0.65751;-645.56;-645.56;0;[S/L];0.65751;0.66099
AUDUSD;1205684383;Sell;0.01;25.01.2024 12:59:15;0.65806;25.01.2024 15:07:27;0.65858;-473.2;-473.20;0;;0.65894;0.65595
AUDUSD;1205406195;Buy Stop;0.01;25.01.2024 11:12:01;0.66042;25.01.2024 11:32:28;0.65952;-820.08;-820.08;0;[S/L];0.65952;0.66219
UK100;1205237035;Sell Stop;0.01;25.01.2024 10:05:26;7493.8;25.01.2024 10:18:45;7505.1;-1311.5;-1 311.50;0;[S/L];7504.9;7471.6
EURUSD;1204780770;Sell Stop;0.01;24.01.2024 22:00:40;1.08724;25.01.2024 03:30:51;1.08835;-1010.1;-1 010.10;0;[S/L];1.08835;1.08391
EURJPY;1204276976;Sell Stop;0.01;24.01.2024 12:43:39;160.074;24.01.2024 12:50:52;160.191;-724.78;-724.78;0;[S/L];160.185;159.345
EURJPY;1203099433;Sell Stop;0.01;23.01.2024 14:50:25;160.949;23.01.2024 18:53:04;161.05;-623.4;-623.40;0;[S/L];161.05;160.394
USDJPY;1201916873;Buy Stop;0.01;22.01.2024 15:55:56;148.118;22.01.2024 19:11:45;147.967;-929.26;-929.26;0;[S/L];147.968;148.784
AUDUSD;1201742583;Sell;0.01;22.01.2024 13:14:18;0.65849;22.01.2024 15:54:00;0.65749;911.5;911.50;0;;0.6585;0.65605
EURJPY;1201743219;Sell Stop;0.01;22.01.2024 13:14:54;161.073;22.01.2024 13:27:08;161.15;-473.63;-473.63;0;[S/L];161.15;159.851
AUDUSD;1201360639;Sell Stop;0.01;22.01.2024 10:12:04;0.659;22.01.2024 12:16:21;0.6597;-634.8;-634.80;0;[S/L];0.6597;0.65567
EURJPY;1201362258;Sell Stop;0.01;22.01.2024 10:13:14;160.947;22.01.2024 11:31:37;161.06;-690.47;-690.47;0;[S/L];161.058;159.836
EURJPY;1199955948;Buy;0.01;19.01.2024 10:54:12;161.21;19.01.2024 12:20:27;161.423;1308.7;1 308.70;0;;161.099;161.876
AUDUSD;1199953761;Sell;0.01;19.01.2024 10:52:30;0.65901;19.01.2024 12:20:27;0.65784;1067.7;1 067.70;0;;0.65978;0.65146
AUDUSD;1198834217;Buy Stop;0.01;18.01.2024 12:57:25;0.6556;18.01.2024 19:11:31;0.65661;927.6;927.60;0;[S/L];0.65671;0.66004
AUDUSD;1198474178;Sell Stop;0.01;18.01.2024 10:22:09;0.65571;18.01.2024 10:35:10;0.65649;-717.46;-717.46;0;[S/L];0.65648;0.65194
EURUSD;1197848875;Buy;0.01;17.01.2024 18:48:12;1.08821;17.01.2024 23:09:09;1.08979;1458.58;1 390.85;0;;1.08898;1.09221
EURUSD;1197455694;Buy;0.01;17.01.2024 13:00:43;1.08512;17.01.2024 17:18:00;1.08724;1957.08;1 957.08;0;;1.08645;1.09223
AUDUSD;1197111143;Sell;0.01;17.01.2024 11:01:18;0.65432;17.01.2024 12:57:56;0.65294;1273.42;1 273.42;0;;0.65476;0.65182
AUDUSD;1197021382;Sell;0.01;17.01.2024 10:24:16;0.65512;17.01.2024 10:58:04;0.65453;548.33;548.33;0;;0.65562;0.6539
AUDUSD;1196349675;Buy Stop;0.01;16.01.2024 22:18:24;0.6591;16.01.2024 23:34:10;0.65833;-711.46;-711.46;0;[S/L];0.65833;0.66187
AUDUSD;1196227138;Buy Stop;0.01;16.01.2024 16:57:11;0.65871;16.01.2024 19:15:08;0.65792;-729.94;-729.94;0;[S/L];0.65794;0.66382
