Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment;S/L;T/P
EURJPY;1341026618;Buy;0.02;31.05.2024 10:17:26;170.345;31.05.2024 14:16:51;170.535;2213.86;2 213.86;0;;169.457;171.678
AUDUSD;1339648160;Buy;0.01;30.05.2024 10:16:20;0.66378;31.05.2024 10:13:10;0.66677;2735.61;2 695.28;0;;0.66629;0.66878
EURUSD;1338529092;Sell Stop;0.01;29.05.2024 12:12:02;1.08092;30.05.2024 08:55:11;1.08314;-2033.9;-2 022.56;0;[S/L];1.08314;1.07239
USDJPY;1336826307;Buy;0.01;28.05.2024 09:59:51;156.832;28.05.2024 19:12:32;157.222;2227.13;2 326.86;0;;156.909;157.72
USDJPY;1335790757;Buy Stop;0.02;27.05.2024 10:10:50;156.831;27.05.2024 22:43:20;156.684;-1690.45;-1 490.28;0;[S/L];156.687;157.662
USDJPY;1333661576;Buy Stop;0.02;23.05.2024 15:28:02;156.937;26.05.2024 18:01:33;156.812;-1439.49;-637.32;0;[S/L];156.815;157.459
AUDUSD;1333280318;Sell;0.01;23.05.2024 11:33:36;0.66251;23.05.2024 15:26:10;0.66017;2129.45;2 129.45;0;;0.66251;0.6572
US500;1333257141;Sell Stop;0.01;23.05.2024 11:20:43;5330;23.05.2024 11:32:02;5335;-2270.93;-2 270.93;0;[S/L];5335;5313.5
US500;1333212963;Sell Stop;0.01;23.05.2024 11:01:24;5321.2;23.05.2024 11:08:22;5329;-3544.01;-3 544.01;0;[S/L];5328.7;5305
USDJPY;1330465283;Buy;0.02;21.05.2024 14:45:06;156.215;23.05.2024 10:47:49;157.058;9747.64;10 145.03;0;;156.914;157.47

